road_name,road_distance,route_name,bus_station,brt_station,peak_hours,average_speed,travel_time,fare,landmark_nearby,road_type,traffic_lights_count,route_type,congestion_level,passenger_capacity,alternative_routes,bus_station_location,brt_station_location,geojson_data
Ali Hassan Mwinyi Road,12.2,Route 20,Kariakoo,Kivukoni,17:00-19:00,57,52,700,National Stadium,Main Road,1,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.804632, 39.360743","-6.896625, 39.275091","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.360743, -6.804632]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 20', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Sam Nujoma Road,25.6,Route 19,Sinza,Kariakoo,12:00-14:00,59,61,500,Posta City Center,Main Road,1,Bus,Low,50,Alt-Sam Nujoma Road,"-6.838606, 39.213114","-6.824592, 39.341106","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.213114, -6.838606]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 19', 'station': 'Sinza', 'congestion_level': 'Low'}}"
Bagamoyo Road,12.2,Route 12,Mwenge,Kimara,17:00-19:00,20,85,2000,Uhuru Stadium,Highway,9,Bus,Medium,50,Alt-Bagamoyo Road,"-6.787082, 39.385131","-6.706245, 39.293795","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.385131, -6.787082]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 12', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,20.5,Route 6,Kariakoo,Ubungo,07:00-09:00,20,31,2000,Uhuru Stadium,Main Road,5,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.886903, 39.229873","-6.837541, 39.270081","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.229873, -6.886903]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 6', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Morogoro Road,12.2,Route 6,Posta,Kariakoo,12:00-14:00,16,100,1500,National Stadium,Feeder Road,2,Bus,High,50,Alt-Morogoro Road,"-6.826109, 39.243583","-6.828285, 39.259666","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.243583, -6.826109]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 6', 'station': 'Posta', 'congestion_level': 'High'}}"
Morogoro Road,12.2,Route 12,Buguruni,Kimara,07:00-09:00,13,21,1000,Mlimani City Mall,Feeder Road,6,Bus,High,50,Alt-Morogoro Road,"-6.895692, 39.396128","-6.714325, 39.234301","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.396128, -6.895692]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 12', 'station': 'Buguruni', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,12.2,Route 8,Mwenge,Kimara,12:00-14:00,54,41,1000,National Stadium,Highway,6,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.705615, 39.384879","-6.728916, 39.293449","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.384879, -6.705615]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 8', 'station': 'Mwenge', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,25.6,Route 6,Buguruni,Mbezi,07:00-09:00,29,79,1000,National Stadium,Main Road,7,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.882584, 39.315254","-6.75286, 39.320183","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.315254, -6.882584]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 6', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 10,Kimara,Kivukoni,12:00-14:00,32,80,2000,Posta City Center,Highway,6,Bus,Medium,50,Alt-Nyerere Road,"-6.802917, 39.329463","-6.768276, 39.281038","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.329463, -6.802917]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 10', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,15.3,Route 3,Kariakoo,Mbezi,07:00-09:00,35,104,2000,Uhuru Stadium,Main Road,1,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.895745, 39.279586","-6.741062, 39.308577","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.279586, -6.895745]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 3', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,12.2,Route 12,Ubungo,Kivukoni,17:00-19:00,40,114,500,Mlimani City Mall,Main Road,4,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.885249, 39.267388","-6.81455, 39.237982","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.267388, -6.885249]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 12', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,20.5,Route 2,Mbagala,Kimara,07:00-09:00,50,55,1000,Mlimani City Mall,Highway,5,Bus,Low,50,Alt-Sam Nujoma Road,"-6.786701, 39.399018","-6.809276, 39.320614","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.399018, -6.786701]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 2', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,18.7,Route 6,Ubungo,Ubungo,07:00-09:00,22,96,500,Mlimani City Mall,Feeder Road,9,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.847486, 39.390935","-6.749002, 39.36469","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.390935, -6.847486]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 6', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 7,Ubungo,Magomeni,07:00-09:00,59,38,500,Kariakoo Market,Highway,4,Bus,Low,50,Alt-Nyerere Road,"-6.73591, 39.264837","-6.861819, 39.329038","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.264837, -6.73591]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 7', 'station': 'Ubungo', 'congestion_level': 'Low'}}"
Morogoro Road,25.6,Route 10,Tegeta,Mbezi,17:00-19:00,33,68,500,Mlimani City Mall,Highway,1,Bus,Medium,50,Alt-Morogoro Road,"-6.83197, 39.346914","-6.819538, 39.361011","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.346914, -6.83197]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 10', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Bagamoyo Road,25.6,Route 10,Ubungo,Gerezani,12:00-14:00,22,15,500,Mlimani City Mall,Highway,4,Bus,Medium,50,Alt-Bagamoyo Road,"-6.789462, 39.37693","-6.790747, 39.237774","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.37693, -6.789462]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 10', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Morogoro Road,25.6,Route 1,Magomeni,Mbezi,07:00-09:00,25,80,500,Mlimani City Mall,Highway,0,Bus,Medium,50,Alt-Morogoro Road,"-6.872595, 39.227505","-6.748028, 39.209441","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.227505, -6.872595]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 1', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Bagamoyo Road,15.3,Route 3,Mwenge,Gerezani,12:00-14:00,17,73,1500,Mlimani City Mall,Main Road,6,Bus,High,50,Alt-Bagamoyo Road,"-6.826618, 39.306809","-6.758124, 39.226714","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.306809, -6.826618]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 3', 'station': 'Mwenge', 'congestion_level': 'High'}}"
Morogoro Road,15.3,Route 9,Buguruni,Ubungo,12:00-14:00,44,33,1500,Uhuru Stadium,Highway,7,Bus,Low,50,Alt-Morogoro Road,"-6.864079, 39.346167","-6.72511, 39.223971","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.346167, -6.864079]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 9', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Nyerere Road,18.7,Route 3,Mwenge,Kariakoo,07:00-09:00,16,36,2000,National Stadium,Feeder Road,4,Bus,High,50,Alt-Nyerere Road,"-6.76721, 39.215683","-6.738955, 39.391031","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.215683, -6.76721]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 3', 'station': 'Mwenge', 'congestion_level': 'High'}}"
Morogoro Road,18.7,Route 20,Mbagala,Kivukoni,12:00-14:00,14,103,500,Mlimani City Mall,Highway,0,Bus,High,50,Alt-Morogoro Road,"-6.737546, 39.382562","-6.788387, 39.260851","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.382562, -6.737546]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 20', 'station': 'Mbagala', 'congestion_level': 'High'}}"
Nyerere Road,18.7,Route 11,Kimara,Kariakoo,12:00-14:00,16,52,700,Mlimani City Mall,Highway,5,Bus,High,50,Alt-Nyerere Road,"-6.771809, 39.279484","-6.712043, 39.365392","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.279484, -6.771809]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 11', 'station': 'Kimara', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,15.3,Route 14,Sinza,Kariakoo,17:00-19:00,13,13,1500,Posta City Center,Feeder Road,1,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.886518, 39.37061","-6.827799, 39.344635","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.37061, -6.886518]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 14', 'station': 'Sinza', 'congestion_level': 'High'}}"
Morogoro Road,20.5,Route 17,Mbagala,Kimara,12:00-14:00,27,41,700,National Stadium,Highway,2,Bus,Medium,50,Alt-Morogoro Road,"-6.787788, 39.29053","-6.813698, 39.216786","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.29053, -6.787788]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 17', 'station': 'Mbagala', 'congestion_level': 'Medium'}}"
Nyerere Road,12.2,Route 14,Ubungo,Gerezani,07:00-09:00,12,11,700,Uhuru Stadium,Feeder Road,1,Bus,High,50,Alt-Nyerere Road,"-6.844753, 39.328024","-6.764942, 39.261648","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.328024, -6.844753]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 14', 'station': 'Ubungo', 'congestion_level': 'High'}}"
Nyerere Road,18.7,Route 20,Ubungo,Mbezi,17:00-19:00,50,86,1500,Kariakoo Market,Highway,2,Bus,Low,50,Alt-Nyerere Road,"-6.861946, 39.35338","-6.828172, 39.279173","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.35338, -6.861946]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 20', 'station': 'Ubungo', 'congestion_level': 'Low'}}"
Bagamoyo Road,15.3,Route 14,Posta,Mbezi,17:00-19:00,50,78,500,Uhuru Stadium,Feeder Road,5,Bus,Low,50,Alt-Bagamoyo Road,"-6.793871, 39.364432","-6.866339, 39.384875","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.364432, -6.793871]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 14', 'station': 'Posta', 'congestion_level': 'Low'}}"
Sam Nujoma Road,20.5,Route 18,Mwenge,Kivukoni,07:00-09:00,56,110,700,Posta City Center,Main Road,9,Bus,Low,50,Alt-Sam Nujoma Road,"-6.81102, 39.394146","-6.773354, 39.379015","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.394146, -6.81102]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 18', 'station': 'Mwenge', 'congestion_level': 'Low'}}"
Nyerere Road,12.2,Route 3,Buguruni,Magomeni,17:00-19:00,46,53,2000,Mlimani City Mall,Feeder Road,5,Bus,Low,50,Alt-Nyerere Road,"-6.89036, 39.282229","-6.86814, 39.27334","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.282229, -6.89036]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 3', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,20.5,Route 20,Buguruni,Magomeni,17:00-19:00,50,17,500,Posta City Center,Main Road,9,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.861209, 39.384911","-6.853645, 39.312792","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.384911, -6.861209]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 20', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Bagamoyo Road,25.6,Route 3,Posta,Kivukoni,12:00-14:00,30,88,500,National Stadium,Highway,7,Bus,Medium,50,Alt-Bagamoyo Road,"-6.79496, 39.277107","-6.743676, 39.24536","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.277107, -6.79496]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 3', 'station': 'Posta', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,20.5,Route 9,Tegeta,Kariakoo,12:00-14:00,46,17,1500,National Stadium,Feeder Road,9,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.849556, 39.372015","-6.894319, 39.351295","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.372015, -6.849556]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 9', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,12.2,Route 14,Mwenge,Kimara,07:00-09:00,43,13,700,Uhuru Stadium,Feeder Road,5,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.809561, 39.328112","-6.741698, 39.301864","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.328112, -6.809561]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 14', 'station': 'Mwenge', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,15.3,Route 9,Buguruni,Kariakoo,07:00-09:00,14,112,1000,Kariakoo Market,Feeder Road,1,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.848232, 39.324728","-6.849844, 39.225959","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.324728, -6.848232]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 9', 'station': 'Buguruni', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,15.3,Route 6,Posta,Kimara,12:00-14:00,25,31,2000,Kariakoo Market,Feeder Road,8,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.724286, 39.275238","-6.807525, 39.22113","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.275238, -6.724286]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 6', 'station': 'Posta', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,12.2,Route 17,Tegeta,Magomeni,12:00-14:00,30,23,2000,Mlimani City Mall,Feeder Road,0,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.86068, 39.394672","-6.877958, 39.368515","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.394672, -6.86068]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 17', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,25.6,Route 11,Tegeta,Ubungo,12:00-14:00,56,36,2000,Uhuru Stadium,Main Road,6,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.830128, 39.347746","-6.814711, 39.282172","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.347746, -6.830128]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 11', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,25.6,Route 8,Sinza,Kimara,12:00-14:00,35,106,1000,National Stadium,Highway,2,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.8843, 39.204539","-6.750363, 39.358818","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.204539, -6.8843]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 8', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,12.2,Route 18,Posta,Ubungo,17:00-19:00,18,47,2000,National Stadium,Main Road,6,Bus,High,50,Alt-Sam Nujoma Road,"-6.738485, 39.271976","-6.896092, 39.318749","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.271976, -6.738485]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 18', 'station': 'Posta', 'congestion_level': 'High'}}"
Bagamoyo Road,15.3,Route 14,Sinza,Magomeni,07:00-09:00,22,25,1000,National Stadium,Highway,5,Bus,Medium,50,Alt-Bagamoyo Road,"-6.74383, 39.285175","-6.745834, 39.206797","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.285175, -6.74383]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 14', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Morogoro Road,20.5,Route 5,Kimara,Kariakoo,17:00-19:00,21,99,1000,Uhuru Stadium,Main Road,4,Bus,Medium,50,Alt-Morogoro Road,"-6.735606, 39.387744","-6.76347, 39.23299","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.387744, -6.735606]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 5', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Nyerere Road,18.7,Route 16,Sinza,Gerezani,07:00-09:00,35,105,2000,Kariakoo Market,Feeder Road,7,Bus,Medium,50,Alt-Nyerere Road,"-6.842924, 39.267313","-6.77031, 39.241859","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.267313, -6.842924]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 16', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,15.3,Route 13,Kariakoo,Kivukoni,17:00-19:00,15,113,1500,Uhuru Stadium,Highway,2,Bus,High,50,Alt-Sam Nujoma Road,"-6.830989, 39.266684","-6.831613, 39.224313","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.266684, -6.830989]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 13', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
Morogoro Road,12.2,Route 7,Tegeta,Kariakoo,17:00-19:00,38,44,2000,Kariakoo Market,Highway,9,Bus,Medium,50,Alt-Morogoro Road,"-6.773431, 39.392238","-6.852993, 39.279116","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.392238, -6.773431]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 7', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,12.2,Route 11,Mbagala,Mbezi,17:00-19:00,19,40,1500,Uhuru Stadium,Main Road,9,Bus,High,50,Alt-Sam Nujoma Road,"-6.800161, 39.333739","-6.78674, 39.256275","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.333739, -6.800161]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 11', 'station': 'Mbagala', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,15.3,Route 6,Tegeta,Kivukoni,17:00-19:00,30,119,700,Mlimani City Mall,Feeder Road,7,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.797436, 39.37027","-6.7891, 39.339388","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.37027, -6.797436]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 6', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Nyerere Road,20.5,Route 17,Magomeni,Magomeni,17:00-19:00,32,48,2000,Kariakoo Market,Highway,7,Bus,Medium,50,Alt-Nyerere Road,"-6.707146, 39.36552","-6.876144, 39.249239","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.36552, -6.707146]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 17', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,15.3,Route 2,Ubungo,Kivukoni,12:00-14:00,16,88,500,Uhuru Stadium,Feeder Road,4,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.795589, 39.294441","-6.851345, 39.371808","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.294441, -6.795589]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 2', 'station': 'Ubungo', 'congestion_level': 'High'}}"
Sam Nujoma Road,12.2,Route 7,Magomeni,Magomeni,07:00-09:00,10,70,500,Kariakoo Market,Main Road,6,Bus,High,50,Alt-Sam Nujoma Road,"-6.808521, 39.329269","-6.707315, 39.26291","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.329269, -6.808521]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 7', 'station': 'Magomeni', 'congestion_level': 'High'}}"
Sam Nujoma Road,20.5,Route 4,Magomeni,Kivukoni,07:00-09:00,16,19,1000,Kariakoo Market,Main Road,5,Bus,High,50,Alt-Sam Nujoma Road,"-6.861871, 39.348378","-6.836369, 39.277055","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.348378, -6.861871]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 4', 'station': 'Magomeni', 'congestion_level': 'High'}}"
Nyerere Road,25.6,Route 15,Buguruni,Magomeni,07:00-09:00,49,29,1000,Mlimani City Mall,Feeder Road,3,Bus,Low,50,Alt-Nyerere Road,"-6.724626, 39.384355","-6.781839, 39.212957","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.384355, -6.724626]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 15', 'station': 'Buguruni', 'congestion_level': 'Low'}}"
Morogoro Road,18.7,Route 2,Buguruni,Gerezani,07:00-09:00,14,32,1500,Posta City Center,Main Road,9,Bus,High,50,Alt-Morogoro Road,"-6.857008, 39.229504","-6.733279, 39.341969","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.229504, -6.857008]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 2', 'station': 'Buguruni', 'congestion_level': 'High'}}"
Sam Nujoma Road,25.6,Route 13,Buguruni,Kivukoni,12:00-14:00,13,73,1500,Mlimani City Mall,Highway,2,Bus,High,50,Alt-Sam Nujoma Road,"-6.883435, 39.373144","-6.796034, 39.248955","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.373144, -6.883435]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 13', 'station': 'Buguruni', 'congestion_level': 'High'}}"
Morogoro Road,20.5,Route 10,Posta,Gerezani,17:00-19:00,13,91,700,Mlimani City Mall,Feeder Road,5,Bus,High,50,Alt-Morogoro Road,"-6.735981, 39.28646","-6.744299, 39.2213","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.28646, -6.735981]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 10', 'station': 'Posta', 'congestion_level': 'High'}}"
Sam Nujoma Road,25.6,Route 13,Kariakoo,Ubungo,17:00-19:00,41,65,2000,Uhuru Stadium,Main Road,1,Bus,Low,50,Alt-Sam Nujoma Road,"-6.809272, 39.33152","-6.77125, 39.361439","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.33152, -6.809272]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 13', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Bagamoyo Road,20.5,Route 11,Mbagala,Kariakoo,17:00-19:00,56,99,700,Posta City Center,Main Road,9,Bus,Low,50,Alt-Bagamoyo Road,"-6.737611, 39.233948","-6.883189, 39.389885","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.233948, -6.737611]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 11', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Sam Nujoma Road,15.3,Route 4,Ubungo,Magomeni,12:00-14:00,26,10,2000,Mlimani City Mall,Main Road,0,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.76899, 39.277732","-6.851133, 39.310406","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.277732, -6.76899]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 4', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,25.6,Route 10,Magomeni,Kimara,12:00-14:00,26,97,500,Mlimani City Mall,Main Road,7,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.88504, 39.316638","-6.801609, 39.345045","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.316638, -6.88504]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 10', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Bagamoyo Road,18.7,Route 3,Magomeni,Ubungo,17:00-19:00,41,36,500,Posta City Center,Highway,9,Bus,Low,50,Alt-Bagamoyo Road,"-6.75372, 39.237502","-6.734214, 39.203495","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.237502, -6.75372]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 3', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,12.2,Route 8,Kariakoo,Gerezani,17:00-19:00,57,91,500,Mlimani City Mall,Highway,1,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.74765, 39.380131","-6.740178, 39.27974","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.380131, -6.74765]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 8', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Sam Nujoma Road,15.3,Route 3,Magomeni,Magomeni,07:00-09:00,18,119,500,Kariakoo Market,Main Road,4,Bus,High,50,Alt-Sam Nujoma Road,"-6.809375, 39.234478","-6.810001, 39.347579","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.234478, -6.809375]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 3', 'station': 'Magomeni', 'congestion_level': 'High'}}"
